Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
SAS - Positive Psychology Center,SAS,Center,Conferences / events,https://ppc.sas.upenn.edu/opportunities/conferences,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Population Studies Center,SAS,Center,Events / colloquia,https://www.pop.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),PARC affiliated
SAS - Penn Language Center,SAS,Center,Events,https://plc.sas.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Native American & Indigenous Studies,SAS,Program,Events,https://nais.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Asian American Studies,SAS,Program,Events,https://asam.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Center for Italian Studies,SAS,Center,Events,https://italian.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Center for Experimental Ethnography,SAS,Center,Events,https://www.ceepenn.org/,Squarespace,Server-rendered HTML,unknown,Squarespace: server-rendered; append ?format=json to most URLs for structured data.,Pattern-inferred — confirm URL before scraping,External domain
SAS - McNeil Center for Early American Studies,SAS,Center,Events,http://www.mceas.org/,Custom,Server-rendered HTML,unknown,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Pattern-inferred — confirm URL before scraping,External domain
SAS - Penn Program in Environmental Humanities,SAS,Program,Events,http://www.ppehlab.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
SAS - Water Center at Penn,SAS,Center,Events,https://watercenter.sas.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Kleinman Center for Energy Policy,Design,Center,Events,https://kleinmanenergy.upenn.edu/events/,WordPress 7.0.3,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Signature Events sub-page; Energy Week
Leonard Davis Institute of Health Economics,University,Institute,Events,https://ldi.upenn.edu/events/,WordPress,Server-rendered HTML,"Per-event iCal/.ics, Google, Outlook, Yahoo links",WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),No central feed
Ian L. McHarg Center,Design,Center,Events,https://www.design.upenn.edu/ian-l-mcharg-center/events,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn GSE Collaboratory,GSE,Center,Recent & Upcoming Events,https://collaboratory.gse.upenn.edu/recent-and-upcoming-events,Drupal,Server-rendered HTML,unknown,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Pattern-inferred — confirm URL before scraping,
SP2 - Research Centers & Projects,SP2,School,Centers index (each lists events),https://sp2.upenn.edu/research-centers-projects/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,"Ortner Center, Field Center, Center for Guaranteed Income"
Penn Human Resources,HR,Staff,Upcoming Events and Workshops,https://www.hr.upenn.edu/PennHR/wellness-worklife/upcoming-events-and-workshops,Custom ASP/Sitecore,Server-rendered HTML,none,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Also Learn & Grow training calendar
"Penn HR - Trainings, Courses & Webinars",HR,Staff,"Trainings, Courses, and Webinars",https://www.hr.upenn.edu/PennHR/learn-grow/trainings-courses-and-webinars,Custom ASP/Sitecore,Server-rendered HTML,none,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Knowledge Link LMS behind it
"Center for Excellence in Teaching, Learning & Innovation",Provost,Faculty,Events / programs,https://cetli.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Weingarten Center,University Life,Student services,Workshops and Programs,https://weingartencenter.universitylife.upenn.edu/academic-support/workshopsandprograms/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Office of Postdoctoral Affairs,Provost,Postdocs,Events,https://postdocs.upenn.edu/event/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Faculty Senate,University,Faculty,Events,https://facultysenate.upenn.edu/events/,WordPress 7.0.4 + The Events Calendar,Server-rendered HTML,/events/?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Event archives by year
Penn Alumni,Alumni,Alumni,Calendar of Events,https://www.alumni.upenn.edu/events,iModules / Anthology Encompass,Server-rendered ASPX with query-string calendar IDs,none exposed,"iModules/Anthology: ASPX pages keyed by query-string calendar IDs. Server-rendered, but brittle — parse carefully.",Verified (page fetched),Homecoming and Alumni Weekend sub-pages
Penn Admissions,Admissions,Admissions,Virtual Events,https://admissions.upenn.edu/visit-connect/visit-penn/virtual-events,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Penn Admissions - Applicant portal,Admissions,Admissions,Events (Slate portal),https://key.admissions.upenn.edu/portal/events,Technolutions Slate,"JS-assisted portal, login-gated in places",none,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Campus visit / virtual info sub-portals
Office of Student Affairs,University Life,Student life,Student Government / events,https://osa.universitylife.upenn.edu/govt/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
GAPSA,University Life,Student government,Events,https://www.gapsa.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
University Life (VPUL legacy),University Life,University-wide,Events,https://vpul.upenn.edu/events.php,Custom PHP,Server-rendered HTML,ulife ICS,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Legacy entry point to ulife calendar
University Life Space & Events,University Life,Venues,Venues,https://spaceandevents.universitylife.upenn.edu/venues/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Room/venue booking rather than events
Penn Libraries - Upcoming Events,Libraries,Library,Upcoming Events,https://www.library.upenn.edu/events/upcoming,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Libraries - Exhibits,Libraries,Library,Exhibits,https://www.library.upenn.edu/exhibits,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,
Penn Museum Library,Libraries,Library,Events and Exhibits,https://www.library.upenn.edu/museum/events-and-exhibits,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Workshops guide at guides.library.upenn.edu/muselibworkshops
Penn Athletics - Baseball,Athletics,Athletics (team schedule),Baseball Schedule,https://pennathletics.com/sports/baseball/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Men's Basketball,Athletics,Athletics (team schedule),Men's Basketball Schedule,https://pennathletics.com/sports/mens-basketball/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Men's Cross Country,Athletics,Athletics (team schedule),Men's Cross Country Schedule,https://pennathletics.com/sports/mens-cross-country/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Men's Fencing,Athletics,Athletics (team schedule),Men's Fencing Schedule,https://pennathletics.com/sports/mens-fencing/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Football,Athletics,Athletics (team schedule),Football Schedule,https://pennathletics.com/sports/football/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Sprint Football,Athletics,Athletics (team schedule),Sprint Football Schedule,https://pennathletics.com/sports/sprint-football/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Men's Golf,Athletics,Athletics (team schedule),Men's Golf Schedule,https://pennathletics.com/sports/mens-golf/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
